Environment,Participant,Acceptance Value,Density Value
Rural Cargo,O37,3,0.2068966
Rural Cargo,O37,3,0.5714286
Rural Cargo,O37,3,0.8985507
Rural Cargo,O37,1,1.280899
Rural Cargo,O16,5,0.2068966
Rural Cargo,O16,4,0.5714286
Rural Cargo,O16,2,0.8985507
Rural Cargo,O35,5,0.2068966
Rural Cargo,O35,4,0.5714286
Rural Cargo,O35,4,0.8985507
Rural Cargo,O35,4,1.280899
Rural Cargo,O35,3,1.614679
Rural Cargo,O35,1,1.984496
Rural Cargo,O15,5,0.2068966
Rural Cargo,O15,4,0.5714286
Rural Cargo,O15,3,0.8985507
Rural Cargo,O15,2,1.280899
Rural Cargo,O15,1,1.614679
Rural Cargo,O14,3,0.2068966
Rural Cargo,O14,1,0.5714286
Rural Cargo,O34,5,0.2068966
Rural Cargo,O34,4,0.5714286
Rural Cargo,O34,4,0.8985507
Rural Cargo,O34,3,1.280899
Rural Cargo,O34,2,1.614679
Rural Cargo,O34,3,1.984496
Rural Cargo,O34,3,2.335571
Rural Cargo,O34,2,2.698225
Rural Cargo,O33,4,0.2068966
Rural Cargo,O34,3,0.5714286
Rural Cargo,O35,1,0.8985507
Rural Cargo,O13,4,0.2068966
Rural Cargo,O13,1,0.5714286
Rural Cargo,O32,1,0.2068966
Rural Cargo,O32,1,0.5714286
Rural Cargo,O12,5,0.2068966
Rural Cargo,O12,4,0.5714286
Rural Cargo,O12,3,0.8985507
Rural Cargo,O12,1,1.280899
Rural Cargo,O31,4,0.2068966
Rural Cargo,O31,1,0.5714286
Rural Cargo,O11,2,0.2068966
Rural Cargo,O11,1,0.5714286
Rural Cargo,O30,5,0.2068966
Rural Cargo,O30,1,0.5714286
Rural Cargo,O10,4,0.2068966
Rural Cargo,O10,1,0.5714286
Rural Cargo,O09,3,0.2068966
Rural Cargo,O09,1,0.5714286
Rural Cargo,O29,3,0.2068966
Rural Cargo,O29,2,0.5416667
Rural Cargo,O29,2,0.9117647
Rural Cargo,O29,1,1.280899
Rural Cargo,O29,1,1.614679
Rural Cargo,O08,4,0.2068966
Rural Cargo,O08,3,0.5714286
Rural Cargo,O08,1,0.8985507
Rural Cargo,O28,5,0.2068966
Rural Cargo,O28,1,0.5714286
Rural Cargo,O27,5,0.2068966
Rural Cargo,O27,4,0.5714286
Rural Cargo,O27,3,0.8985507
Rural Cargo,O27,1,1.280899
Rural Cargo,O26,4,0.2068966
Rural Cargo,O26,4,0.5714286
Rural Cargo,O26,1,0.8985507
Rural Cargo,O25,4,0.2068966
Rural Cargo,O25,1,0.5714286
Rural Cargo,O24,4,0.2068966
Rural Cargo,O24,1,0.5714286
Rural Cargo,O23,5,0.2142857
Rural Cargo,O23,3,0.5714286
Rural Cargo,O23,1,0.8985507
Rural Cargo,O22,4,0.2068966
Rural Cargo,O22,1,0.5714286
Rural Cargo,O21,5,0.2068966
Rural Cargo,O21,5,0.5714286
Rural Cargo,O21,5,0.8985507
Rural Cargo,O21,5,1.280899
Rural Cargo,O21,4,1.614679
Rural Cargo,O21,4,1.984496
Rural Cargo,O21,1,2.335571
Rural Cargo,O20,4,0.2068966
Rural Cargo,O20,4,0.5714286
Rural Cargo,O20,4,0.8985507
Rural Cargo,O20,1,1.280899
Rural Cargo,O19,2,0.2068966
Rural Cargo,O19,3,0.5714286
Rural Cargo,O19,1,0.8985507
Rural Cargo,O18,5,0.2068966
Rural Cargo,O18,3,0.5714286
Rural Cargo,O18,1,0.8985507
Rural Cargo,O17,4,0.2068966
Rural Cargo,O17,4,0.5714286
Rural Cargo,O17,4,0.8985507
Rural Cargo,O17,4,1.280899
Rural Cargo,O17,4,1.614679
Rural Cargo,O17,4,1.984496
Rural Cargo,O17,4,2.335571
Rural Cargo,O17,4,2.698225
Rural Cargo,D01,4,0.2068966
Rural Cargo,D01,4,0.5714286
Rural Cargo,D01,4,0.8985507
Rural Cargo,D01,4,1.280899
Rural Cargo,D01,4,1.614679
Rural Cargo,D01,4,1.984496
Rural Cargo,D01,4,2.335571
